ID,Percentage,Category,no_Anch,no_Chg,Anch1,Anch2,Anch3,Anch4,Chg1,Chg2,Chg3,Chg4,Chg5,Hgt1,Hgt2,Hgt3,Hgt4,Hgt5
90,0.20259793,FN,2,0,4,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
91,0.813968821,TP,3,0,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
92,0.303526462,TN,2,0,0,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
93,0.578345137,FP,0,1,-99,-99,-99,-99,21,-99,-99,-99,-99,3,-99,-99,-99,-99
94,0.756820821,FP,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
95,0.652066325,TP,0,5,-99,-99,-99,-99,3,5,8,15,21,-1,1,-1,3,2
96,0.699929261,TP,0,5,-99,-99,-99,-99,3,8,15,17,21,-1,-1,1,3,3
97,0.092404437,TN,2,0,15,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
98,0.069428356,FN,1,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
99,0.770147754,TP,3,0,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
100,0.420312775,TN,0,3,-99,-99,-99,-99,4,8,17,-99,-99,2,1,-1,-99,-99
101,0.19911286,TN,3,0,0,8,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
102,0.592101554,TP,0,2,-99,-99,-99,-99,17,21,-99,-99,-99,1,2,-99,-99,-99
103,0.214841515,TN,3,0,14,17,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
104,0.316528995,TN,4,0,0,3,4,14,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
105,0.437743143,FN,0,3,-99,-99,-99,-99,3,4,21,-99,-99,1,1,-1,-99,-99
106,0.030086186,TN,1,0,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
107,0.258473021,TN,3,0,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
108,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
109,0.83542838,TP,2,0,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
110,0.761635389,TP,2,0,0,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
111,0.665083085,TP,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
112,0.142183177,TN,3,0,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
113,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
114,0.726161938,FP,3,0,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
115,0.207255247,TN,3,0,0,8,13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
116,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
117,0.101092583,TN,2,0,0,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
118,0.595313097,TP,0,1,-99,-99,-99,-99,21,-99,-99,-99,-99,3,-99,-99,-99,-99
119,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
120,0.439766955,TN,0,3,-99,-99,-99,-99,3,8,17,-99,-99,1,1,-1,-99,-99
121,0.334506877,FN,4,0,0,7,14,15,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
122,0.138577381,TN,2,0,0,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
123,0.100245495,TN,2,0,0,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
124,0.18374498,TN,2,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
125,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
126,0.035714423,TN,1,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
127,0.454540926,TN,0,2,-99,-99,-99,-99,17,21,-99,-99,-99,-1,-1,-99,-99,-99
128,0.201787228,TN,3,0,0,7,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
129,0.63832541,FP,0,3,-99,-99,-99,-99,4,7,21,-99,-99,-1,-1,3,-99,-99
130,0.077494108,TN,2,0,0,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
131,0.127761979,TN,1,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
132,0.08190576,TN,2,0,0,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
133,0.334209225,TN,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
134,0.775193924,TP,3,0,0,17,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
135,0.643720444,TP,4,0,0,4,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
136,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
137,0.157918828,TN,2,0,0,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
138,0.042319019,TN,2,0,0,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
139,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
140,0.121807525,FN,1,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
141,0.600087022,TP,0,1,-99,-99,-99,-99,21,-99,-99,-99,-99,4,-99,-99,-99,-99
142,0.155356394,TN,2,0,15,16,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
143,0.164830169,FN,2,0,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
144,0.644202977,TP,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
145,0.4054167,TN,0,3,-99,-99,-99,-99,3,4,17,-99,-99,2,2,-1,-99,-99
146,0.107033275,TN,2,0,0,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
147,0.318256102,TN,1,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
148,0.629095342,FP,0,3,-99,-99,-99,-99,4,20,21,-99,-99,-1,-1,2,-99,-99
149,0.152071339,TN,3,0,0,3,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
150,0.289981883,TN,3,0,0,3,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
151,0.382781467,TN,0,4,-99,-99,-99,-99,3,4,8,21,-99,2,1,1,-1,-99
152,0.654350101,FP,0,4,-99,-99,-99,-99,3,4,17,21,-99,-1,-1,1,3,-99
153,0.713576957,FP,4,0,0,4,5,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
154,0.200985876,TN,2,0,0,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
155,0.779686497,TP,3,0,0,3,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
156,0.203243429,FN,2,0,19,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
157,0.260199536,TN,3,0,0,8,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
158,0.789555492,TP,4,0,0,4,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
159,0.554297129,TP,0,1,-99,-99,-99,-99,21,-99,-99,-99,-99,2,-99,-99,-99,-99
160,0.128128553,TN,2,0,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
161,0.786052105,TP,3,0,0,4,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
162,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
163,0.890764976,TP,3,0,0,3,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
164,0.345067639,TN,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
165,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
166,0.438050036,TN,0,3,-99,-99,-99,-99,3,4,21,-99,-99,1,1,-1,-99,-99
167,0.284120817,TN,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
168,0.37436412,FN,3,0,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
169,0.035597532,FN,1,0,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
170,0.83361165,TP,3,0,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
171,0.164675769,TN,1,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
172,0.19748252,FN,3,0,0,15,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
173,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
174,0.163277987,TN,1,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
175,0.242182314,TN,4,0,0,5,7,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
176,0.235994046,FN,2,0,0,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
177,0.797817681,TP,3,0,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
178,0.412082728,FN,3,3,0,3,8,-99,3,8,17,-99,-99,2,1,-1,-99,-99
179,0.229987524,TN,3,0,0,3,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
180,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
181,0.687360525,FP,3,0,0,3,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
182,0.778380279,TP,3,0,0,4,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
183,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
184,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
185,0.355266485,FN,3,0,0,7,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
186,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
187,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
188,0.428124498,FN,3,3,0,3,8,-99,3,4,17,-99,-99,2,1,-1,-99,-99
189,0.749347001,TP,4,0,0,8,14,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
190,0.343410484,FN,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
191,0.868485512,TP,2,0,0,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
192,0.293693036,TN,3,0,0,15,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
193,0.101320908,TN,3,0,0,3,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
194,0.38478696,TN,3,3,0,3,8,-99,3,8,17,-99,-99,3,2,-1,-99,-99
195,0.366904301,FN,4,0,0,3,4,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
196,0.779430533,FP,3,0,0,3,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
197,0.090570263,TN,1,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
198,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
199,0.354852144,TN,3,0,0,17,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
200,0.150655911,TN,1,0,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
201,0.284851677,TN,3,0,0,7,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
202,-9,NA,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
203,0.73120355,TP,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
204,0.41596461,FN,3,2,0,8,17,-99,8,21,-99,-99,-99,3,-1,-99,-99,-99
205,0.150798406,TN,2,0,17,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
206,0.24439479,TN,2,0,0,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
207,0.703406578,TP,3,0,0,7,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
208,0.699996935,TP,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
209,0.740107681,TP,3,0,0,7,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
210,0.6953371,FP,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
211,0.765162401,TP,3,0,0,1,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
212,0.362889014,FN,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
213,0.604767253,FP,4,3,1,3,4,16,3,7,21,-99,-99,-1,-1,2,-99,-99
214,0.715489104,TP,4,0,0,5,8,14,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
215,0.685490017,TP,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
216,0.173219583,FN,3,0,0,3,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
217,0.931129373,FP,2,0,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
218,0.285714343,TN,4,0,0,3,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
219,0.214029313,TN,3,0,0,3,15,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
220,0.224531138,TN,2,0,0,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
221,0.7767131,TP,3,0,0,4,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
222,0.772664803,TP,3,0,0,3,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
223,0.737248646,TP,4,0,0,5,8,14,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
224,0.843776407,TP,3,0,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
225,0.671714059,TP,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
226,0.185815069,TN,2,0,0,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
227,0.209890769,TN,2,0,0,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
228,0.692491743,TP,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
229,0.217776744,TN,2,0,0,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
230,0.597004247,TP,0,1,-99,-99,-99,-99,21,-99,-99,-99,-99,4,-99,-99,-99,-99
231,0.583254357,TP,0,1,-99,-99,-99,-99,21,-99,-99,-99,-99,3,-99,-99,-99,-99
232,0.792720981,TP,3,0,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
233,0.872944689,TP,2,0,0,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
234,0.244038772,FN,3,0,0,3,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
235,0.877728345,TP,3,0,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
236,0.7958304,TP,3,0,0,4,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
237,0.774904704,TP,4,0,0,3,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
238,0.576746201,TP,0,1,-99,-99,-99,-99,21,-99,-99,-99,-99,3,-99,-99,-99,-99
239,0.588927561,TP,0,2,-99,-99,-99,-99,3,21,-99,-99,-99,-1,2,-99,-99,-99
240,0.609642515,TP,0,1,-99,-99,-99,-99,21,-99,-99,-99,-99,4,-99,-99,-99,-99
241,0.149371846,TN,2,0,17,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
242,0.117214246,TN,1,0,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
243,0.948019759,FP,2,0,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
244,0.653347598,FP,4,0,4,7,17,21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
245,0.431155673,TN,3,3,0,8,12,-99,7,17,21,-99,-99,1,-1,-1,-99,-99
246,0.254563124,TN,3,0,0,8,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
247,0.161015575,TN,2,0,0,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
248,0.741863918,TP,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
249,0.207200216,TN,2,0,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
250,0.891373771,TP,3,0,0,1,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
251,0.861367775,TP,4,0,0,8,14,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
252,0.170340515,TN,2,0,0,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
253,0.176047158,FN,2,0,0,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
254,0.701067086,TP,4,4,0,5,8,14,3,7,17,21,-99,-1,-1,4,3,-99
