,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
36,51,186,13,96,22,3,1,84,2,0,2,25,0,56,0,4,3,79,50,5,3,3,100
37,70,127,25,57,23,0,0,96,22.4,6,6,24,0,13,0,0,0,51,29,9,2.4,1,67
38,65,116,10,37,14,1,1,93,72,6,2,15,1,13,0,2,2,52,70.2,3,1,2,56
39,78,21,4,13,11,0,0,100,-7,7,8,11,5,64,0,3,3,7,97,3,2.6,0,75
40,86,318,18,90,13,0,0,100,-7,7,8,13,0,62,0,0,0,0,44,0,2,0,50
41,90,230,13,73,11,0,0,100,-7,7,8,13,0,62,0,0,0,1,71,1,4,0,71
42,76,293,4,74,33,0,0,100,-7,7,8,34,1,38,0,2,2,37,49.6,13,1,0,88
43,70,37,4,20,19,0,0,100,-7,7,8,20,2,20,0,3,3,42,73,2,2,1,50
44,73,255,16,100,40,0,0,100,-7,7,8,44,0,23,0,1,1,79,62,18,1,13,80
45,72,209,2,95,41,0,0,100,-7,7,8,42,3,38,0,1,1,42,61.4,7,2,2,82
46,83,398,3,118,29,0,0,100,-7,7,8,29,2,31,0,3,3,22,87,6,3,0,69
47,87,326,7,111,26,0,0,100,-7,7,8,30,1,40,0,0,0,12,89,3,2,0,56
48,55,114,6,59,19,0,0,89,5,4,6,19,1,53,0,1,1,97,90,8,2,6,100
49,65,478,12,97,44,0,0,89,1,4,6,47,0,32,0,9,9,63,37,9,2.6,6,60
50,78,197,23,91,15,0,0,100,-7,7,8,17,0,41,0,5,5,57,32,2,2,0.2,67
51,79,243,17,77,35,0,0,97,67,6,6,39,0,36,0,2,2,20,72,4,1,0,56
52,75,183,18,92,21,0,0,100,-7,7,8,22,0,27,0,0,0,88,91,9,3,5,93
53,70,176,8,96,20,0,0,95,17,5,6,20,1,30,0,0,0,74,71,8,4,3,86
54,78,368,6,74,42,0,0,98,23,5,6,43,3,49,0,3,3,10,19,8,2,0,67
55,75,300,14,124,22,0,0,100,-7,7,8,23,0,39,0,0,0,57,71.6,4,1,1,100
56,76,150,11,54,14,0,0,100,-7,7,8,15,1,40,0,0,0,32,96,4,2,0,75
57,72,168,8,62,10,0,0,100,-7,7,8,11,1,18,0,5,5,60,82,7,1,0,100
58,55,118,4,69,12,7,4,50,4,3,3,22,2,27,0,2,2,79,79,5,2,2,88
59,74,277,30,123,24,0,0,88,12,6,6,24,0,25,0,0,0,45,50.6,12,1,2,93
60,63,174,1,62,11,1,0,79,5,3,5,14,1,29,0,5,5,37,101,5,2,2,70
61,81,137,9,66,34,0,0,100,-7,7,8,34,1,62,0,1,1,24,92,3,4,0,78
62,81,126,9,78,18,0,0,100,-7,7,8,18,1,83,0,0,0,0,64,1,3,0.2,80
63,59,243,11,79,38,1,1,76,7,4,6,43,1,50,0,1,1,63,78,7,4,4,86
64,66,176,11,81,43,0,0,98,3,4,6,44,1,39,0,2,2,36,64,3,4,1,47
65,72,169,5,60,21,1,1,96,30,6,3,23,1,52,0,4,4,66,82,4,3,1,78
66,73,409,7,94,38,0,0,100,-7,7,8,39,2,18,0,1,1,27,69,11,2,2,72
67,86,419,10,122,17,0,0,100,-7,7,8,18,1,72,0,0,0,0,36,0,2,0,50
68,91,282,100,209,6,0,0,100,-7,7,8,7,0,43,0,0,0,0,28.2,0,1.8,1.8,0
69,73,324,15,89,19,0,0,89,9,4,6,19,0,21,0,0,0,34,36,6,3,1,64
70,78,134,2,63,35,0,0,93,32,6,6,40,3,40,0,0,0,22,55,5,4,0,60
71,65,155,8,37,20,1,1,95,8,4,6,21,1,38,0,2,2,49,87,5,5,1,67
72,75,70,1,38,8,0,0,100,-7,7,8,9,1,78,0,4,3,17,83.4,2,1,0.2,100
73,84,277,8,109,8,0,0,100,-7,7,8,8,1,50,0,0,0,33,55,2,1,0,100
74,75,294,12,94,39,0,0,98,35,6,6,40,0,35,0,2,2,17,63,6,5,0,61
75,60,357,17,141,9,4,3,67,3,3,4,13,0,50,0,1,1,28,81,4,2.4,1.4,100
76,68,106,3,54,29,1,1,87,51,6,2,31,2,65,0,1,1,85,73,3,5,2,100
77,67,85,7,44,15,1,1,93,45,6,6,16,2,33,0,0,0,59,62,3,2,2,83
78,71,282,1,73,22,0,0,96,22.8,6,6,25,5,4,0,2,2,37,39,11,1,1,80
79,50,204,2,91,23,2,0,82,1,3,5,28,2,32,0,6,6,32,68,5,3.8,0,67
80,62,151,19,99,5,1,1,80,16,6,6,6,0,80,0,0,0,40,75,1,2,0,100
81,70,333,2,75,16,0,0,100,-7,5,8,20,8,30,0,0,0,78,92,6,2,4,67
82,58,307,6,79,14,1,0,73,18,6,5,15,2,53,0,0,0,81,75,3,3,2,86
83,-9,17,17,17,1,0,0,100,-7,9,8,1,0,100,0,0,0,69.6,75.6,2.4,3,1,93.2
84,88,188,13,82,20,0,0,100,-7,7,8,20,0,40,0,0,0,17,82,2,2,0,50
85,65,107,7,48,40,0,0,100,-7,6,8,43,4,42,0,2,2,80,86,5,2,4,70
86,74,169,5,78,26,0,0,96,76,6,6,27,2,37,0,1,1,37,91,5,4,0,75
87,78,282,2,95,23,0,0,100,-7,7,8,24,1,13,0,1,1,22,75.8,4,1,1,43
88,74,378,7,110,41,0,0,98,35,6,6,42,4,57,0,0,0,44,76,4,5,2,69
89,77,311,11,103,39,0,0,98,28.4,6,6,42,1,36,0,0,0,46,73,5,4,1,69
90,67,299,2,79,25,0,0,89,15,5,6,27,3,37,0,12,11,63,63,13,3,4,94
91,56,76,6,32,11,2,2,92,15,5,2,14,5,17,0,3,3,83,42,5,2,2,100
92,88,211,20,103,13,0,0,100,-7,7,8,14,0,57,-7,0,0,0,19,2,3,0,71
93,75,169,2,59,21,0,0,100,-7,7,8,22,4,36,-7,4,4,43,112,4,6,0,83
94,66,127,2,69,17,0,0,94,16,6,6,18,4,33,-7,3,3,42,81,3,4,3,58
95,81,220,2,91,20,0,0,100,-7,7,8,23,2,39,-7,2,2,36,61,3,1,1,67
96,71,177,8,95,24,0,0,96,44,6,6,24,1,75,-7,1,1,87,87,4,2,3,100
97,69,112,2,43,5,0,0,100,-7,7,8,7,2,43,-7,1,1,37,58,3,2,0,83
98,74,150,13,91,13,1,1,93,35,6,2,14,0,29,-7,0,0,36,78.6,1,1,1,40
99,56,224,21,109,27,1,1,79,4,4,6,28,0,21,-7,1,1,101,79,15,1,11,94
100,65,243,9,89,23,0,0,83,2,4,6,23,1,52,-7,0,0,49,75,4,4,1,80
101,92,152,15,154,14,0,0,100,-7,7,8,15,0,47,-7,0,0,7,79,2,2,0,80
102,91,150,3,108,10,0,0,100,-7,7,8,11,1,64,-7,1,1,2,41,1,3,0,67
103,73,183,6,90,19,1,1,100,-7,7,8,19,1,32,-7,0,0,6,52,1,2,0,50
104,66,255,1,80,14,1,1,88,9,4,6,16,3,69,-7,4,4,58,60,3,4,1,88
105,87,120,12,59,26,0,0,100,-7,7,8,26,0,54,-7,1,1,1,63.6,2,1,0,75
106,64,246,16,106,5,3,3,88,57,6,3,8,0,88,-7,1,1,49.8,144,1.4,4,0.4,100
107,63,123,2,40,5,1,1,86,29,6,4,7,4,43,-7,0,0,77,67.6,3,1,1,100
108,78,177,1,65,26,0,0,96,48.2,6,6,28,3,46,-7,1,1,4,72,4,5,0,64
109,75,212,23,105,11,0,0,82,21,6,6,11,0,45,-7,1,1,13,49,1,1,0,100
110,68,224,9,110,24,5,5,86,25,6,2,29,1,31,-7,5,5,5,73,2,2,0.8,71
111,61,208,6,96,24,3,2,74,44,6,2,27,3,63,-7,2,2,53,77,6,4,2,92
112,63,203,2,79,16,0,0,59,3,4,6,17,1,47,-7,3,3,55,77,7,3,1,91
113,69,160,5,109,11,1,1,92,20,6,3,13,1,31,-7,0,0,94,95.8,3,2,3,100
114,49,103,4,48,10,12,9,53,7,0,2,17,1,35,-7,2,2,37,66,5,2,0,80
115,74,159,9,69,26,0,0,100,-7,6,7,27,2,48,-7,0,0,61,67,3,4,2,78
116,65,241,37,95,15,0,0,76,0,4,6,17,0,29,-7,1,1,51,43,3,1,1,80
117,80,203,6,91,15,0,0,100,-7,7,8,17,1,29,-7,0,0,16,93,6,2,1,69
118,61,61,10,41,9,0,0,80,18.4,5,6,10,1,50,-7,2,2,80,95,4,3,1,100
119,57,178,2,79,23,0,0,92,2,4,6,26,2,58,-7,3,3,57,77,5,2,1,100
120,59,131,7,81,13,1,0,69,5,4,5,17,1,50,-7,2,2,75,60,3,2,1,100
121,71,103,15,94,6,1,0,86,13,6,5,7,0,14,-7,0,0,48,95.4,2,2.2,0,67
122,86,168,15,85,33,0,0,97,51,6,6,34,0,38,-7,0,0,3,63.6,3,2,0,56
123,83,106,3,62,28,0,0,100,-7,7,8,28,5,11,-7,4,4,17,73.4,2,1,0,60
124,59,198,6,89,29,3,2,79,21,6,2,34,1,38,-7,3,3,38,98,11,1,1,86
125,59,256,0,50,11,1,0,44,1,4,5,16,1,75,-7,1,1,93,74,3,6,2,90
126,55,203,7,81,19,2,1,86,3,3,5,21,2,33,-7,3,3,56,87,3,2,1,83
127,75,258,28,97,23,0,0,96,32.2,6,6,24,0,13,-7,0,0,31,29.8,4,2,0,57
128,78,41,3,16,3,0,0,100,-7,7,8,3,2,67,-7,16,16,0,71.8,0,1,0.4,50
129,65,14,0,4,3,0,0,100,-7,7,8,6,5,33,-7,9,9,1,98,1,2,0,50
130,80,233,3,106,28,0,0,97,2,4,6,30,4,37,2,3,3,4,98,4,2,0,86
131,70,252,3,73,20,4,2,88,31,6,3,24,4,67,2,1,1,16,93,3,2,0,63
132,59,254.2,5,82,20,5,5,78,6,4,2,27,1,67,4,1,1,98,84,2,4,1.2,100
133,57,246,4,72,34,2,1,88,3,1,3,40,4,73,2,3,3,12,70,3,12,0,89
134,77,154,3,55,31,0,0,100,-7,7,8,32,6,63,2,2,1,26,74,5,14,0,86
135,65,37,13,24,11,0,0,100,-7,7,8,11,0,27,3,4,4,81,80.4,6,1,2,88
136,67,97,2,46,8,0,0,100,-7,7,8,9,1,33,0,1,1,66,48,5,2,1,88
137,73,136,6,77,25,0,0,100,-7,7,8,25,4,36,0,3,3,54,100,11,1,1,100
138,73,190,8,113,27,0,0,100,-7,7,8,30,1,23,7,0,0,40,78,9,3,1,68
139,77,221,17,93,46,0,0,100,-7,7,8,51,0,36,17,0,0,41,72.4,8,1,2,75
140,61,190,7,118,34,0,0,82,22,5,6,34,1,50,19,0,0,97,78,6,4,4,100
141,86,242,77,135,14,0,0,100,-7,7,8,14,0,36,1,3,3,3,35,2,1,0,43
142,66,132,3,36,34,0,0,100,-7,7,8,34,3,26,10,0,0,66,81,21,4,5,96
143,64,178,8,108,33,0,0,85,1,4,6,33,2,36,0,4,4,48,78,5,3,3,62
144,79,245,6,100,35,0,0,100,-7,7,8,37,1,43,4,1,1,18,61,6,4,0,71
145,76,159,3,84,21,0,0,95,-7,5,7,21,1,71,3,1,1,42,69,3,3,1,75
146,62,27,19,22,3,2,2,100,-7,6,8,3,0,100,2,4,4,59,80,1.6,1,0.6,100
147,81,244,3,128,54,0,0,98,44,6,6,56,3,41,0,4,4,25,97,6,3,0,90
148,85,241,7,120,36,0,0,100,-7,7,8,36,1,39,2,1,1,1,20,3,4,0,50
149,75,160,5,69,12,0,0,100,-7,7,8,12,2,42,2,2,2,85,100,2,2,2,83
150,72,132,2,65,25,0,0,100,-7,7,8,26,3,42,2,3,3,40,70,5,3,2,73
151,71,179,4,68,32,1,1,97,50,6,3,33,5,21,1,5,5,43,45,12,4,3,76
152,65,256,40,190,23,1,1,85,5,4,4,27,0,52,5,0,0,75,27,4,3,1,88
153,55,139,3,65,51,0,0,98,2,4,6,51,3,27,0,11,9,80,62.8,17,2,10,79
154,89,137,15,75,14,0,0,100,-7,7,8,14,0,0,4.8,0,0,3,68.4,3,1.2,0,50
155,50,222,20,99,24,2,1,81,1,4,5,26,0,38,3,1,1,42,67,6,3,2,69
156,70,218,3,69,24,1,1,88,36,5,2,33,3,62,0,5,5,69,83,8,4,1,100
157,55,156,5,65,59,1,1,98,2,4,6,59,5,36,1,12,11,44,91,7,5,1,92
158,69,82,13,57,15,5,4,67,23,6,2,21,0,71,5,2,2,6,66,1,2,0.4,75
159,62,247,11,93,29,2,2,90,37,0,6,29,1,24,16,0,0,67,71.2,11,1,3,100
160,87,112,5,67,22,0,0,100,-7,7,8,22,2,55,5,0,0,3,92,1,3,0,44
161,65,129,10,64,30,0,0,78,2,4,6,32,3,34,0,1,1,17,99,2,10,0,67
162,66,93,7,33,23,0,0,100,-7,7,8,24,3,33,0,2,2,58,97,8,2,4,63
163,85,154,45,159,4,0,0,100,-7,7,8,4,0,50,5.6,0,0,53,27.8,1,2.2,0,100
164,81,212,1,93,37,0,0,100,-7,7,8,44,5,16,2,3,3,19,58.6,4,2,1,35
165,65,321,3,74,27,2,1,68,21,6,4,31,5,45,0,4,4,11,91,1,4,0,56
166,65,338,7,55,24,0,0,83,9,4,6,24,2,33,0,2,2,13,78,2,2,0,31
167,85,195,5,87,28,0,0,100,-7,7,8,29,5,38,0,3,3,11,49,5,3,0,73
168,67,145,3,58,31,1,1,94,11,4,2,32,4,56,3,2,2,18,62,5,6,1,79
169,92,352,13,120,14,0,0,100,-7,7,8,17,0,35,4,1,1,11,65.4,2,1,0,60
170,66,205,4,123,5,1,1,100,-7,6,8,5,2,40,4,5,5,83,80,1,2,1,100
171,62,135,8,59,15,2,2,81,4,4,6,16,1,81,0,11,10,13,59,2,4,0,100
172,62,433,1,79,31,3,3,92,24,5,2,39,7,85,0,2,2,13,97,1,4,1,100
173,69,175,6,56,17,2,1,90,11,4,5,20,3,55,1,1,1,16,92,3,8,0,73
174,83,344,42,151,10,0,0,90,38,6,6,10,0,40,19,0,0,5,51.6,1,1.8,0,33
175,57,140,13,67,8,4,4,80,26,6,4,10,0,50,3,1,1,93,71,1,2,1,100
176,66,307,6,125,38,3,1,79,24,6,2,49,2,48,4,1,1,45,75,8,3,4,65
177,66,502,4,145,34,0,0,97,36,6,6,37,4,27,4,3,3,80,53,17,3,12,83
178,64,277,6,94,26,0,0,71,3,4,6,28,1,54,5,0,0,52,77,5,4,1,82
179,81,334,16,104,18,0,0,100,-7,7,8,19,0,68,9,0,0,29,34,3,3,0,86
180,63,307,2,85,35,0,0,95,22,6,6,38,3,24,0,3,3,38,85.4,5,1,2,50
181,66,133,6,77,23,0,0,100,-7,7,8,26,2,42,0,3,3,105,94,6,2,6,100
182,61,338,2,145,32,0,0,88,4,4,6,33,1,27,12,0,0,56,85,15,2,6,78
183,85,182,13,74,10,0,0,100,-7,7,8,10,0,50,18,0,0,12,34,4,2,0,86
184,72,145,7,57,45,0,0,100,-7,7,8,72,2,74,7,0,0,34,97,4,12,0,73
185,85,267,18,72,8,0,0,100,-7,7,8,8,0,25,17,0,0,17,62,2,1,0,75
186,78,340,8,106,25,0,0,96,7,4,6,25,1,56,4,1,1,6,77,2,3,0,56
187,86,439,2,112,18,0,0,100,-7,7,8,21,2,57,1,3,3,26,100,3,2,0,83
188,70,139,5,67,19,1,0,83,19,6,5,23,2,57,5,0,0,39,66,2,3,0,100
189,62,295,7,124,55,0,0,95,8,4,6,57,2,39,5,0,0,32,48,6,4,2,57
190,82,286,1,103,16,0,0,100,-7,7,8,17,3,47,6,0,0,25,22,4,3,1,89
191,75,311,8,117,40,0,0,100,-7,7,8,45,2,42,0,5,5,34,87.8,4,3,2,45
192,66,111,4,40,9,0,0,100,-7,7,8,9,2,33,1,3,3,80,55,5,2,3,88
193,93,399,27,174,5,0,0,100,-7,7,8,5,0,0,2,1,1,0,41,0,1.8,0,0
194,67,85,16,48,17,1,0,89,20,6,5,18,0,61,4,1,1,44,77,1,2,0,75
195,64,103,1,52,22,1,1,88,26,6,6,24,3,38,1,5,5,29,77,4,3,2,58
196,67,90,7,38,7,0,0,100,-7,7,8,7,1,57,5,1,1,91,52,1,2,1,75
197,81,99,1,54,35,0,0,100,-7,7,8,36,1,25,0,2,2,8,42,2,3,0,67
198,80,415,10,129,20,0,0,90,5,4,6,20,1,20,5.6,0,0,8,84,1,1,0,50
199,84,288,2,85,11,0,0,100,-7,7,8,13,1,38,17,1,0,20,75.8,2,1,1,38
200,88,209,9,93,19,0,0,100,-7,7,8,19,1,53,5,0,0,0,71.6,1,1,0,29
201,82,163,38,92,12,0,0,100,-7,7,8,12,0,17,18,0,0,33,44,4,2.2,0,100
202,60,281,1,73,35,0,0,78,0,4,6,40,4,28,0,8,8,16,86,10,4,2,68
203,60,164,4,67,18,2,0,67,1,4,5,24,2,58,0,5,5,0,53,0,4,0,63
204,75,407,1,90,27,1,0,94,18,6,5,31,3,16,0,1,1,3,76.6,8,2,0,59
205,59,191,4,74,38,0,0,93,5,4,6,40,2,33,1,2,2,48,45,12,3,3,83
206,75,180,4,74,35,0,0,100,-7,7,8,36,5,44,0,4,4,41,97,1,3,0,80
207,73,116,23,65,23,0,0,100,-7,7,8,23,0,39,1,1,1,25,70,3,4,1,62
208,87,126,7,71,21,0,0,100,-7,7,8,22,1,38,13,0,0,10,50,2,2,0,67
209,90,244,4,96,31,0,0,100,-7,7,8,31,1,42,0,3,3,2,74,1,1,0,20
210,63,69,3,42,13,7,7,100,-7,6,8,13,2,15,0,1,1,53,58,6,2,1,89
211,89,363,1,106,21,0,0,100,-7,6,7,24,1,29,0,1,1,2,74,5,2,0,64
212,82,154,1,82,35,0,0,100,-7,7,8,36,5,42,0,1,1,12,100,2,2,0,44
213,70,253,33,131,23,1,1,100,-7,0,8,23,0,35,4.8,0,0,3,48,3,3,0,55
214,76,170,2,68,32,0,0,97,10,4,6,35,5,34,1,3,3,13,0,2,4,0,67
215,75,325,7,101,23,1,1,96,65,6,6,24,1,63,6,0,0,47,70,4,4,0,89
216,76,220,4,87,31,0,0,94,43,6,6,31,3,55,5,1,1,31,64,4,2,0,60
217,65,145,7,70,40,0,0,100,-7,7,8,43,4,30,1,9,8,83,77,10,5,6,79
218,65,293,11,142,20,1,0,38,2,4,5,24,1,50,3,13,13,9,32,4,4,2,62
219,92,474,57,258,8,0,0,100,-7,7,8,8,0,0,2,1,1,1,31.8,3,1.6,0,50
220,66,234,4,69,54,2,1,98,60,6,5,60,4,25,0,2,2,19,62,6,4,0,57
221,64,432,3,87,34,0,0,97,17,6,6,35,7,35,0,2,2,34,47,8,7,2,71
222,63,130,3,67,25,0,0,86,2,4,6,29,1,34,0,0,0,57,75,4,2,2,67
223,61,251,12,74,15,0,0,93,70,6,6,15,0,13,0,1,1,89,72.6,7,1,5,100
224,76,280,12,77,25,0,0,100,-7,7,8,25,0,40,0,0,0,17,42,2,4,1,50
225,60,125,8,34,26,0,0,96,10,4,6,26,2,15,0,3,3,56,70,4,1,1,67
226,89,408,4,108,28,0,0,100,-7,7,8,30,2,20,0,1,1,10,66,4,2,0,55
227,85,271,8,96,26,0,0,100,-7,7,8,26,1,19,0,1,1,4,77.6,3,1,0,25
228,58,274,11,144,9,2,0,64,41,4,5,11,1,36,0,3,3,68,15,2,3,1,100
229,64,162,5,73,4,3,3,67,54,6,2,7,1,33,0,1,1,57,64.6,2,1,0,100
230,81,306,5,74,16,0,0,100,-7,7,8,18,1,11,0,0,0,25,101,7,1,1,80
231,56,82,5,37,29,0,0,93,17,6,6,30,3,57,0,1,1,43,85,5,3,2,73
232,55,99,4,56,35,5,5,92,4,4,2,40,3,65,0,0,0,100,45,1,2,1.4,100
233,51,232,6,93,13,2,1,69,1,0,2,16,3,38,0,0,0,94,88,2,3,1,83
234,68,130,8,51,30,2,2,97,71,6,6,36,2,53,0,0,0,59,24,5,4,0,75
235,55,147,1,83,12,2,2,86,32,6,2,15,1,29,0,2,2,66,91.6,6,1,2,89
236,87,336,4,120,35,0,0,100,-7,7,8,35,4,14,0,2,2,3,82.4,6,1,0,47
237,68,264,17,106,22,0,0,88,78,6,6,26,0,46,0,0,0,64,65,5,3,3,90
238,70,233,6,69,31,0,0,97,6,4,6,33,1,33,0,0,0,35,68,6,3,1,59
239,75,254,4,60,9,0,0,100,-7,7,8,9,2,44,0,1,1,60,95,2,2,0,80
240,70,321,11,67,13,2,2,82,71,6,4,17,1,53,0,4,4,50,80,3,5,0,90
241,77,165,12,75,20,0,0,95,45,6,6,20,0,20,0,0,0,41,44,4,2,1,43
242,73,232,5,72,19,0,0,95,8,4,6,19,3,42,0,0,0,35,85,6,2,0,73
243,60,273,3,126,32,4,4,89,2,4,6,35,3,11,0,0,0,37,74,16,2,0,95
244,77,324,7,85,26,0,0,100,-7,7,8,26,3,38,0,0,0,16,65,4,4,0,59
245,80,220,5,105,32,0,0,100,-7,7,8,32,2,41,0,0,0,36,54,3,4,1,58
246,82,161,4,60,41,0,0,100,-7,7,8,44,4,23,0,4,4,2,67,3,1,1,29
247,83,176,8,70,8,0,0,100,-7,7,8,8,3,50,0,0,0,38,91,2,2,0,80
248,65,321,6,114,27,1,1,82,17,5,3,28,3,32,0,0,0,66,66.8,6,1,1,88
249,77,140,2,73,15,0,0,88,12,6,6,17,2,53,0,1,1,17,64,2,4,0.2,67
250,66,409,4,138,18,0,0,85,15,6,6,20,2,25,0,0,0,55,46.2,7,2.2,1,80
251,84,191,35,104,11,0,0,100,-7,7,8,12,0,58,0,2,0,4,50,1,2,0,75
252,59,152,8,50,23,4,2,79,29,6,2,29,4,41,0,0,0,70,93,8,3,1,100
253,66,253,5,125,8,3,0,64,12,6,5,11,2,27,0,0,0,80,90.8,2,1,1,60
254,63,234,25,159,8,2,1,43,23,6,2,14,0,14,0,0,0,33,73,1,2.2,1,33
255,73,250,6,67,42,0,0,100,-7,7,8,47,2,49,0,1,1,50,86,4,7,1,69
256,77,173,14,71,39,0,0,100,-7,6,8,42,0,31,0,0,0,19,66,8,3,1,50
257,79,81,8,38,10,0,0,100,-7,7,8,10,2,20,0,0,0,10,63.6,2,1,0.2,50
258,64,164,8,71,25,1,0,92,7,4,6,26,3,38,0,3,3,58,84,3,3,0,67
259,67,282,11,108,37,0,0,95,3,4,6,40,1,43,0,1,1,68,58,5,3,2,80
260,80,290,5,82,14,0,0,87,17,5,6,15,2,60,0,0,0,16,44,3,4,0,78
261,74,279,3,90,31,1,1,97,12,6,4,33,3,18,0,2,2,5,95,4,3,0,47
262,70,196,4,64,34,0,0,100,-7,7,8,35,1,37,0,0,0,83,85.6,6,1,3,100
263,65,77,6,50,2,1,1,67,57,6,3,3,1,67,0,0,0,42.8,76.4,1.6,1,0.6,100
264,69,184,15,76,9,2,2,82,49,6,2,11,0,27,0,0,0,66,53.8,4,1.8,2,57
265,73,94,3,49,21,0,0,95,57,6,6,22,2,36,0,2,2,42,47,3,2,1,56
266,66,74,3,21,13,0,0,92,32.4,6,6,13,6,23,0,4,4,33,61,5,3,0,73
267,73,219,4,88,23,0,0,100,-7,7,8,24,3,46,0,1,1,45,88,6,2,1,89
268,80,198,10,72,25,0,0,100,-7,7,8,25,1,24,0,1,1,7,23,1,2,0,50
269,58,175,6,57,45,1,0,96,8,3,5,47,1,53,0,3,3,69,85,6,12,3,78
270,88,369,7,114,31,0,0,100,-7,7,8,33,2,33,0,0,0,1,91,2,2,0,36
271,64,159,1,54,20,1,0,89,20,5,5,27,2,52,0,2,2,42,94,4,2,2,86
272,62,174,2,84,35,0,0,89,38,5,6,38,3,32,0,1,1,68,62.6,9,2,3,85
273,73,144,38,96,13,0,0,85,44,6,6,13,0,8,0,0,0,40,5,10,1,1,85
274,86,266,3,95,12,0,0,100,-7,7,8,13,3,15,0,0,0,22,77.8,3,1.8,0,43
275,66,375,16,183,21,1,0,83,4,3,5,23,0,52,0,3,3,24,75.6,3,2,0,100
276,69,338,2,62,22,0,0,96,12,6,6,23,3,35,0,4,4,25,100,3,2,1,45
277,58,118,21,66,14,3,0,75,3,4,5,20,0,30,0,0,0,62,66,5,4,0,90
278,75,255,5,102,30,0,0,100,-7,7,8,32,2,13,0,1,1,39,95,7,2,4,53
279,75,291,20,118,15,1,0,94,68,6,5,17,0,41,0,2,2,48,40.8,3,1,0,83
280,70,288,8,69,30,0,0,100,-7,7,8,30,2,20,0,1,1,31,94,5,2,2,39
